date,state,district,pincode,age_0_5,age_5_17,age_18_greater
14-09-2025,Maharashtra,Mumbai Suburban,400101,1,2,0
14-09-2025,Maharashtra,Mumbai Suburban,400104,0,1,0
12-09-2025,Maharashtra,Mumbai Suburban,400024,1,0,0
12-09-2025,Maharashtra,Mumbai Suburban,400050,3,1,0
12-09-2025,Maharashtra,Mumbai Suburban,400053,1,0,0
12-09-2025,Maharashtra,Mumbai Suburban,400054,1,0,0
12-09-2025,Maharashtra,Mumbai Suburban,400061,1,1,0
12-09-2025,Maharashtra,Mumbai Suburban,400063,3,4,0
12-09-2025,Maharashtra,Mumbai Suburban,400074,2,2,1
12-09-2025,Maharashtra,Mumbai Suburban,400077,2,0,0
12-09-2025,Maharashtra,Mumbai Suburban,400093,3,2,0
12-09-2025,Maharashtra,Mumbai Suburban,400102,0,3,2
13-09-2025,Maharashtra,Mumbai Suburban,400043,22,4,0
13-09-2025,Maharashtra,Mumbai Suburban,400050,2,0,0
13-09-2025,Maharashtra,Mumbai Suburban,400053,1,2,0
13-09-2025,Maharashtra,Mumbai Suburban,400056,1,0,0
13-09-2025,Maharashtra,Mumbai Suburban,400058,3,0,0
13-09-2025,Maharashtra,Mumbai Suburban,400060,1,0,0
13-09-2025,Maharashtra,Mumbai Suburban,400061,1,0,0
13-09-2025,Maharashtra,Mumbai Suburban,400063,4,1,0
13-09-2025,Maharashtra,Mumbai Suburban,400081,0,1,0
13-09-2025,Maharashtra,Mumbai Suburban,400086,1,4,0
13-09-2025,Maharashtra,Mumbai Suburban,400094,2,0,0
13-09-2025,Maharashtra,Mumbai Suburban,400095,6,6,0
13-09-2025,Maharashtra,Mumbai Suburban,400097,8,2,0
15-09-2025,Maharashtra,Mumbai Suburban,400050,6,0,0
15-09-2025,Maharashtra,Mumbai Suburban,400051,2,0,0
15-09-2025,Maharashtra,Mumbai Suburban,400054,1,0,0
15-09-2025,Maharashtra,Mumbai Suburban,400059,3,0,0
15-09-2025,Maharashtra,Mumbai Suburban,400070,1,0,0
15-09-2025,Maharashtra,Mumbai Suburban,400089,3,0,0
15-09-2025,Maharashtra,Mumbai Suburban,400097,1,0,0
16-09-2025,Maharashtra,Mumbai Suburban,400042,1,1,0
16-09-2025,Maharashtra,Mumbai Suburban,400057,1,0,0
16-09-2025,Maharashtra,Mumbai Suburban,400059,3,2,0
16-09-2025,Maharashtra,Mumbai Suburban,400067,6,0,0
16-09-2025,Maharashtra,Mumbai Suburban,400071,2,2,0
16-09-2025,Maharashtra,Mumbai Suburban,400092,2,1,0
16-09-2025,Maharashtra,Mumbai Suburban,400095,3,3,0
17-09-2025,Maharashtra,Mumbai Suburban,400059,1,0,0
17-09-2025,Maharashtra,Mumbai Suburban,400063,3,0,0
17-09-2025,Maharashtra,Mumbai Suburban,400065,1,2,0
19-09-2025,Maharashtra,Mumbai Suburban,400029,1,0,0
19-09-2025,Maharashtra,Mumbai Suburban,400042,1,0,0
19-09-2025,Maharashtra,Mumbai Suburban,400067,3,0,0
19-09-2025,Maharashtra,Mumbai Suburban,400071,0,1,0
19-09-2025,Maharashtra,Mumbai Suburban,400075,1,1,0
19-09-2025,Maharashtra,Mumbai Suburban,400088,4,0,0
18-09-2025,Maharashtra,Mumbai Suburban,400051,1,3,0
18-09-2025,Maharashtra,Mumbai Suburban,400069,0,1,0
18-09-2025,Maharashtra,Mumbai Suburban,400072,6,6,0
18-09-2025,Maharashtra,Mumbai Suburban,400078,5,0,0
18-09-2025,Maharashtra,Mumbai Suburban,400103,0,1,0
20-09-2025,Maharashtra,Mumbai Suburban,400053,9,0,0
20-09-2025,Maharashtra,Mumbai Suburban,400063,5,0,0
20-09-2025,Maharashtra,Mumbai Suburban,400066,8,2,0
20-09-2025,Maharashtra,Mumbai Suburban,400070,6,0,0
20-09-2025,Maharashtra,Mumbai Suburban,400082,1,0,0
20-09-2025,Maharashtra,Mumbai Suburban,400084,1,1,0
20-09-2025,Maharashtra,Mumbai Suburban,400102,3,0,0
20-09-2025,Maharashtra,Mumbai Suburban,400103,1,0,0
20-09-2025,Maharashtra,Mumbai Suburban,400104,4,0,0
22-09-2025,Maharashtra,Mumbai Suburban,400055,0,1,0
22-09-2025,Maharashtra,Mumbai Suburban,400061,1,0,0
22-09-2025,Maharashtra,Mumbai Suburban,400079,1,0,0
22-09-2025,Maharashtra,Mumbai Suburban,400093,1,0,0
22-09-2025,Maharashtra,Mumbai Suburban,400097,6,2,0
22-09-2025,Maharashtra,Mumbai Suburban,400102,0,0,1
21-09-2025,Maharashtra,Mumbai Suburban,400043,2,1,0
21-09-2025,Maharashtra,Mumbai Suburban,400057,0,1,0
21-09-2025,Maharashtra,Mumbai Suburban,400084,1,0,0
21-09-2025,Maharashtra,Mumbai Suburban,400088,1,0,0
21-09-2025,Maharashtra,Mumbai Suburban,400097,0,1,0
25-09-2025,Maharashtra,Mumbai Suburban,400049,1,0,0
25-09-2025,Maharashtra,Mumbai Suburban,400053,3,0,0
25-09-2025,Maharashtra,Mumbai Suburban,400058,6,2,0
25-09-2025,Maharashtra,Mumbai Suburban,400070,4,3,0
25-09-2025,Maharashtra,Mumbai Suburban,400072,8,0,0
25-09-2025,Maharashtra,Mumbai Suburban,400080,2,0,0
25-09-2025,Maharashtra,Mumbai Suburban,400093,2,0,0
25-09-2025,Maharashtra,Mumbai Suburban,400101,3,0,0
23-09-2025,Maharashtra,Mumbai Suburban,400055,2,1,0
23-09-2025,Maharashtra,Mumbai Suburban,400058,1,0,0
23-09-2025,Maharashtra,Mumbai Suburban,400060,1,0,0
23-09-2025,Maharashtra,Mumbai Suburban,400064,0,1,0
23-09-2025,Maharashtra,Mumbai Suburban,400071,2,0,0
23-09-2025,Maharashtra,Mumbai Suburban,400072,3,1,0
23-09-2025,Maharashtra,Mumbai Suburban,400077,2,0,0
23-09-2025,Maharashtra,Mumbai Suburban,400078,1,1,0
23-09-2025,Maharashtra,Mumbai Suburban,400080,1,1,0
23-09-2025,Maharashtra,Mumbai Suburban,400081,0,1,0
23-09-2025,Maharashtra,Mumbai Suburban,400088,5,2,0
23-09-2025,Maharashtra,Mumbai Suburban,400101,6,1,0
23-09-2025,Maharashtra,Mumbai Suburban,400103,2,0,0
23-09-2025,Maharashtra,Mumbai Suburban,400104,2,0,0
24-09-2025,Maharashtra,Mumbai Suburban,400049,1,0,0
24-09-2025,Maharashtra,Mumbai Suburban,400056,2,0,0
24-09-2025,Maharashtra,Mumbai Suburban,400058,1,1,0
24-09-2025,Maharashtra,Mumbai Suburban,400071,6,0,0
24-09-2025,Maharashtra,Mumbai Suburban,400081,1,1,0
27-09-2025,Maharashtra,Mumbai Suburban,400043,3,5,0
27-09-2025,Maharashtra,Mumbai Suburban,400070,1,2,0
27-09-2025,Maharashtra,Mumbai Suburban,400078,2,0,0
27-09-2025,Maharashtra,Mumbai Suburban,400084,1,0,0
26-09-2025,Maharashtra,Mumbai Suburban,400068,1,1,0
26-09-2025,Maharashtra,Mumbai Suburban,400075,3,0,0
26-09-2025,Maharashtra,Mumbai Suburban,400077,0,3,0
26-09-2025,Maharashtra,Mumbai Suburban,400078,2,0,0
26-09-2025,Maharashtra,Mumbai Suburban,400080,4,1,0
26-09-2025,Maharashtra,Mumbai Suburban,400086,1,0,0
26-09-2025,Maharashtra,Mumbai Suburban,400091,2,1,0
26-09-2025,Maharashtra,Mumbai Suburban,400097,4,1,0
29-09-2025,Maharashtra,Mumbai Suburban,400042,1,0,0
29-09-2025,Maharashtra,Mumbai Suburban,400086,1,0,0
26-10-2025,Maharashtra,Mumbai Suburban,400069,1,0,0
26-10-2025,Maharashtra,Mumbai Suburban,400071,2,0,0
26-10-2025,Maharashtra,Mumbai Suburban,400103,1,0,0
13-10-2025,Maharashtra,Mumbai Suburban,400042,2,0,0
13-10-2025,Maharashtra,Mumbai Suburban,400060,2,0,0
13-10-2025,Maharashtra,Mumbai Suburban,400061,4,0,0
13-10-2025,Maharashtra,Mumbai Suburban,400064,8,0,0
13-10-2025,Maharashtra,Mumbai Suburban,400067,7,1,0
13-10-2025,Maharashtra,Mumbai Suburban,400070,8,0,1
13-10-2025,Maharashtra,Mumbai Suburban,400075,4,1,0
13-10-2025,Maharashtra,Mumbai Suburban,400076,1,1,0
13-10-2025,Maharashtra,Mumbai Suburban,400081,4,1,0
13-10-2025,Maharashtra,Mumbai Suburban,400089,3,1,0
13-10-2025,Maharashtra,Mumbai Suburban,400091,1,0,0
16-10-2025,Maharashtra,Mumbai Suburban,400042,1,0,0
16-10-2025,Maharashtra,Mumbai Suburban,400057,1,0,0
16-10-2025,Maharashtra,Mumbai Suburban,400063,1,0,0
16-10-2025,Maharashtra,Mumbai Suburban,400066,0,1,0
16-10-2025,Maharashtra,Mumbai Suburban,400067,2,2,0
16-10-2025,Maharashtra,Mumbai Suburban,400071,2,0,0
16-10-2025,Maharashtra,Mumbai Suburban,400095,2,0,0
15-10-2025,Maharashtra,Mumbai Suburban,400042,1,0,0
15-10-2025,Maharashtra,Mumbai Suburban,400043,10,3,0
15-10-2025,Maharashtra,Mumbai Suburban,400052,1,0,0
15-10-2025,Maharashtra,Mumbai Suburban,400057,0,0,1
15-10-2025,Maharashtra,Mumbai Suburban,400070,8,1,0
15-10-2025,Maharashtra,Mumbai Suburban,400078,1,0,0
15-10-2025,Maharashtra,Mumbai Suburban,400081,2,0,0
15-10-2025,Maharashtra,Mumbai Suburban,400083,1,1,0
15-10-2025,Maharashtra,Mumbai Suburban,400087,1,0,0
15-10-2025,Maharashtra,Mumbai Suburban,400102,2,1,0
18-10-2025,Maharashtra,Mumbai Suburban,400049,1,0,0
18-10-2025,Maharashtra,Mumbai Suburban,400058,6,1,0
18-10-2025,Maharashtra,Mumbai Suburban,400066,2,0,1
18-10-2025,Maharashtra,Mumbai Suburban,400075,2,0,0
18-10-2025,Maharashtra,Mumbai Suburban,400103,2,0,1
17-10-2025,Maharashtra,Mumbai Suburban,400029,2,0,0
17-10-2025,Maharashtra,Mumbai Suburban,400050,1,1,0
17-10-2025,Maharashtra,Mumbai Suburban,400055,1,1,0
17-10-2025,Maharashtra,Mumbai Suburban,400057,1,0,0
17-10-2025,Maharashtra,Mumbai Suburban,400060,2,1,0
17-10-2025,Maharashtra,Mumbai Suburban,400064,4,0,0
17-10-2025,Maharashtra,Mumbai Suburban,400068,7,1,0
17-10-2025,Maharashtra,Mumbai Suburban,400075,2,0,0
17-10-2025,Maharashtra,Mumbai Suburban,400082,1,0,1
17-10-2025,Maharashtra,Mumbai Suburban,400093,2,0,0
17-10-2025,Maharashtra,Mumbai Suburban,400095,5,3,0
17-10-2025,Maharashtra,Mumbai Suburban,400097,12,4,0
17-10-2025,Maharashtra,Mumbai Suburban,400102,8,2,0
20-10-2025,Maharashtra,Mumbai Suburban,400043,2,1,0
20-10-2025,Maharashtra,Mumbai Suburban,400102,1,0,0
20-10-2025,Maharashtra,Mumbai Suburban,400104,1,0,0
19-10-2025,Maharashtra,Mumbai Suburban,400049,1,0,0
19-10-2025,Maharashtra,Mumbai Suburban,400065,0,1,0
19-10-2025,Maharashtra,Mumbai Suburban,400072,9,1,0
19-10-2025,Maharashtra,Mumbai Suburban,400077,1,0,0
24-10-2025,Maharashtra,Mumbai Suburban,400050,1,1,0
24-10-2025,Maharashtra,Mumbai Suburban,400051,2,0,0
24-10-2025,Maharashtra,Mumbai Suburban,400058,1,1,0
24-10-2025,Maharashtra,Mumbai Suburban,400060,1,0,0
24-10-2025,Maharashtra,Mumbai Suburban,400061,2,0,0
24-10-2025,Maharashtra,Mumbai Suburban,400068,1,1,0
24-10-2025,Maharashtra,Mumbai Suburban,400077,1,0,1
24-10-2025,Maharashtra,Mumbai Suburban,400083,3,0,0
24-10-2025,Maharashtra,Mumbai Suburban,400101,2,0,0
24-10-2025,Maharashtra,Mumbai Suburban,400103,1,0,0
24-10-2025,Maharashtra,Mumbai Suburban,400104,1,0,0
21-10-2025,Maharashtra,Mumbai Suburban,400058,1,0,0
21-10-2025,Maharashtra,Mumbai Suburban,400067,0,1,0
21-10-2025,Maharashtra,Mumbai Suburban,400078,1,1,0
21-10-2025,Maharashtra,Mumbai Suburban,400101,1,0,0
25-10-2025,Maharashtra,Mumbai Suburban,400042,0,1,0
25-10-2025,Maharashtra,Mumbai Suburban,400051,3,0,0
25-10-2025,Maharashtra,Mumbai Suburban,400070,3,0,0
25-10-2025,Maharashtra,Mumbai Suburban,400079,1,0,0
25-10-2025,Maharashtra,Mumbai Suburban,400082,1,0,0
25-10-2025,Maharashtra,Mumbai Suburban,400084,1,1,0
27-10-2025,Maharashtra,Mumbai Suburban,400055,1,0,1
27-10-2025,Maharashtra,Mumbai Suburban,400093,1,0,0
28-10-2025,Maharashtra,Mumbai Suburban,400043,6,1,0
28-10-2025,Maharashtra,Mumbai Suburban,400050,1,0,0
28-10-2025,Maharashtra,Mumbai Suburban,400060,2,1,0
28-10-2025,Maharashtra,Mumbai Suburban,400064,1,1,0
28-10-2025,Maharashtra,Mumbai Suburban,400068,2,1,0
28-10-2025,Maharashtra,Mumbai Suburban,400071,4,0,0
28-10-2025,Maharashtra,Mumbai Suburban,400097,2,0,0
28-10-2025,Maharashtra,Mumbai Suburban,400098,1,0,0
28-10-2025,Maharashtra,Mumbai Suburban,400104,2,0,0
29-10-2025,Maharashtra,Mumbai Suburban,400054,1,1,0
29-10-2025,Maharashtra,Mumbai Suburban,400055,1,1,0
29-10-2025,Maharashtra,Mumbai Suburban,400058,0,2,0
29-10-2025,Maharashtra,Mumbai Suburban,400068,2,0,0
29-10-2025,Maharashtra,Mumbai Suburban,400079,1,0,0
30-10-2025,Maharashtra,Mumbai Suburban,400029,2,0,0
30-10-2025,Maharashtra,Mumbai Suburban,400043,23,7,0
30-10-2025,Maharashtra,Mumbai Suburban,400053,2,0,0
30-10-2025,Maharashtra,Mumbai Suburban,400059,2,0,2
30-10-2025,Maharashtra,Mumbai Suburban,400063,2,3,0
30-10-2025,Maharashtra,Mumbai Suburban,400064,2,2,0
30-10-2025,Maharashtra,Mumbai Suburban,400077,4,1,0
30-10-2025,Maharashtra,Mumbai Suburban,400078,11,2,0
30-10-2025,Maharashtra,Mumbai Suburban,400081,1,0,0
30-10-2025,Maharashtra,Mumbai Suburban,400099,1,0,0
06-11-2025,Maharashtra,Mumbai Suburban,400029,0,1,0
06-11-2025,Maharashtra,Mumbai Suburban,400054,3,1,0
06-11-2025,Maharashtra,Mumbai Suburban,400056,2,0,0
06-11-2025,Maharashtra,Mumbai Suburban,400081,1,0,0
06-11-2025,Maharashtra,Mumbai Suburban,400091,2,0,0
06-11-2025,Maharashtra,Mumbai Suburban,400095,3,0,1
05-11-2025,Maharashtra,Mumbai Suburban,400043,11,3,0
05-11-2025,Maharashtra,Mumbai Suburban,400051,6,0,0
05-11-2025,Maharashtra,Mumbai Suburban,400052,1,0,0
05-11-2025,Maharashtra,Mumbai Suburban,400058,5,0,0
05-11-2025,Maharashtra,Mumbai Suburban,400064,0,1,0
05-11-2025,Maharashtra,Mumbai Suburban,400072,9,2,0
05-11-2025,Maharashtra,Mumbai Suburban,400074,3,1,0
05-11-2025,Maharashtra,Mumbai Suburban,400079,1,0,0
05-11-2025,Maharashtra,Mumbai Suburban,400083,3,1,0
05-11-2025,Maharashtra,Mumbai Suburban,400088,1,1,0
05-11-2025,Maharashtra,Mumbai Suburban,400095,2,0,0
04-11-2025,Maharashtra,Mumbai Suburban,400051,0,1,0
08-11-2025,Maharashtra,Mumbai Suburban,400064,3,2,0
08-11-2025,Maharashtra,Mumbai Suburban,400072,4,1,0
07-11-2025,Maharashtra,Mumbai Suburban,400042,1,0,0
07-11-2025,Maharashtra,Mumbai Suburban,400057,1,0,0
07-11-2025,Maharashtra,Mumbai Suburban,400058,1,0,0
07-11-2025,Maharashtra,Mumbai Suburban,400060,1,0,0
07-11-2025,Maharashtra,Mumbai Suburban,400068,4,0,0
07-11-2025,Maharashtra,Mumbai Suburban,400071,3,2,0
07-11-2025,Maharashtra,Mumbai Suburban,400074,8,0,0
07-11-2025,Maharashtra,Mumbai Suburban,400075,1,0,0
07-11-2025,Maharashtra,Mumbai Suburban,400083,0,1,0
09-11-2025,Maharashtra,Mumbai Suburban,400053,2,0,0
09-11-2025,Maharashtra,Mumbai Suburban,400064,2,0,0
09-11-2025,Maharashtra,Mumbai Suburban,400069,1,0,0
09-11-2025,Maharashtra,Mumbai Suburban,400082,1,0,0
09-11-2025,Maharashtra,Mumbai Suburban,400084,1,0,0
09-11-2025,Maharashtra,Mumbai Suburban,400089,2,0,0
09-11-2025,Maharashtra,Mumbai Suburban,400091,1,0,0
09-11-2025,Maharashtra,Mumbai Suburban,400095,5,2,0
10-11-2025,Maharashtra,Mumbai Suburban,400029,1,0,0
10-11-2025,Maharashtra,Mumbai Suburban,400051,4,1,1
10-11-2025,Maharashtra,Mumbai Suburban,400055,3,0,0
10-11-2025,Maharashtra,Mumbai Suburban,400060,2,2,0
10-11-2025,Maharashtra,Mumbai Suburban,400068,5,0,0
10-11-2025,Maharashtra,Mumbai Suburban,400071,3,0,3
10-11-2025,Maharashtra,Mumbai Suburban,400080,5,1,1
10-11-2025,Maharashtra,Mumbai Suburban,400092,0,1,2
10-11-2025,Maharashtra,Mumbai Suburban,400093,6,0,0
10-11-2025,Maharashtra,Mumbai Suburban,400095,6,1,0
10-11-2025,Maharashtra,Mumbai Suburban,400101,5,2,0
14-11-2025,Maharashtra,Mumbai Suburban,400056,1,0,0
14-11-2025,Maharashtra,Mumbai Suburban,400057,1,0,0
14-11-2025,Maharashtra,Mumbai Suburban,400061,1,0,0
14-11-2025,Maharashtra,Mumbai Suburban,400068,4,0,0
14-11-2025,Maharashtra,Mumbai Suburban,400071,1,0,0
14-11-2025,Maharashtra,Mumbai Suburban,400080,1,0,0
14-11-2025,Maharashtra,Mumbai Suburban,400095,11,2,0
14-11-2025,Maharashtra,Mumbai Suburban,400102,2,3,0
14-11-2025,Maharashtra,Mumbai Suburban,400104,0,1,1
13-11-2025,Maharashtra,Mumbai Suburban,400043,5,1,0
13-11-2025,Maharashtra,Mumbai Suburban,400050,3,1,0
13-11-2025,Maharashtra,Mumbai Suburban,400054,0,1,0
13-11-2025,Maharashtra,Mumbai Suburban,400063,1,0,0
13-11-2025,Maharashtra,Mumbai Suburban,400072,5,1,0
01-11-2025,Maharashtra,Mumbai Suburban,400053,1,1,0
01-11-2025,Maharashtra,Mumbai Suburban,400057,1,0,0
01-11-2025,Maharashtra,Mumbai Suburban,400066,0,1,0
01-11-2025,Maharashtra,Mumbai Suburban,400097,2,0,0
31-10-2025,Maharashtra,Mumbai Suburban,400050,2,2,0
31-10-2025,Maharashtra,Mumbai Suburban,400051,8,0,0
31-10-2025,Maharashtra,Mumbai Suburban,400057,1,0,0
31-10-2025,Maharashtra,Mumbai Suburban,400068,2,1,0
31-10-2025,Maharashtra,Mumbai Suburban,400075,2,0,0
31-10-2025,Maharashtra,Mumbai Suburban,400076,3,1,0
31-10-2025,Maharashtra,Mumbai Suburban,400081,1,0,0
31-10-2025,Maharashtra,Mumbai Suburban,400091,2,0,0
31-10-2025,Maharashtra,Mumbai Suburban,400101,9,4,0
31-10-2025,Maharashtra,Mumbai Suburban,400104,7,0,0
03-11-2025,Maharashtra,Mumbai Suburban,400049,0,1,0
03-11-2025,Maharashtra,Mumbai Suburban,400053,1,0,0
03-11-2025,Maharashtra,Mumbai Suburban,400067,2,1,0
03-11-2025,Maharashtra,Mumbai Suburban,400069,1,0,0
03-11-2025,Maharashtra,Mumbai Suburban,400074,3,1,0
03-11-2025,Maharashtra,Mumbai Suburban,400077,1,0,0
03-11-2025,Maharashtra,Mumbai Suburban,400102,2,0,0
03-11-2025,Maharashtra,Mumbai Suburban,400104,1,1,0
02-11-2025,Maharashtra,Mumbai Suburban,400042,2,0,0
02-11-2025,Maharashtra,Mumbai Suburban,400054,1,0,0
02-11-2025,Maharashtra,Mumbai Suburban,400058,5,2,0
02-11-2025,Maharashtra,Mumbai Suburban,400068,3,5,0
02-11-2025,Maharashtra,Mumbai Suburban,400069,3,0,0
02-11-2025,Maharashtra,Mumbai Suburban,400070,12,3,0
02-11-2025,Maharashtra,Mumbai Suburban,400081,3,0,0
02-11-2025,Maharashtra,Mumbai Suburban,400084,10,0,0
02-11-2025,Maharashtra,Mumbai Suburban,400086,9,0,0
02-11-2025,Maharashtra,Mumbai Suburban,400097,9,5,0
02-11-2025,Maharashtra,Mumbai Suburban,400103,0,2,0
12-11-2025,Maharashtra,Mumbai Suburban,400042,1,0,0
12-11-2025,Maharashtra,Mumbai Suburban,400050,0,1,0
12-11-2025,Maharashtra,Mumbai Suburban,400051,1,3,0
12-11-2025,Maharashtra,Mumbai Suburban,400080,3,2,0
12-11-2025,Maharashtra,Mumbai Suburban,400083,1,0,0
12-11-2025,Maharashtra,Mumbai Suburban,400089,3,0,0
12-11-2025,Maharashtra,Mumbai Suburban,400092,1,0,0
12-11-2025,Maharashtra,Mumbai Suburban,400095,3,2,0
11-11-2025,Maharashtra,Mumbai Suburban,400024,2,1,0
11-11-2025,Maharashtra,Mumbai Suburban,400042,1,0,0
11-11-2025,Maharashtra,Mumbai Suburban,400043,7,3,0
11-11-2025,Maharashtra,Mumbai Suburban,400051,5,0,0
